sample_no,scenario,orientation,用户倾诉,对话历史,候选文本,A_ER,A_IP,A_EX,B_ER,B_IP,B_EX,
1,亲子摩擦,引导反思型,我爸今天又说我玩手机。我没顶嘴，就把手机放下了。说什么呢，说了他也是那一套，不如不说。,[],"你刚才没顶嘴、直接放下手机，这个选择挺清醒的——你很清楚跟他吵起来只会更累。  
心里那点憋着的劲儿，好像比吵一架还沉，对吧？  
不过你有没有注意到——你其实在保护自己不被那套话再砸一遍，这本身就是一种判断力。",1,2,0,1,1,1,
2,同伴关系,引导反思型,我真的服了，今天数学课上老师非让我上去做题，我明明在草稿上演算了的，就是最后一步算错了，她就在全班面前说“你上课到底听没听？”我周围好几个人都在笑，我脸都红到脖子根了！凭什么就点我啊，前排那几个也错了她怎么不说？太不公平了吧！,[],你当时在台上被那么多人看着，最后一步算错还被点名，换谁都会觉得又丢脸又憋屈。不过你记得自己每一步都演算过，只是最后写错——说明你其实很清楚自己会做，不是真的没听懂。,1,2,1,0,1,1,
3,同伴关系,共情型,就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。,"[{""role"": ""student"", ""text"": ""就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。""}, {""role"": ""assistant"", ""text"": ""你注意到自己翻了好几遍，还认真回想是不是自己说错了话——你其实挺在意和朋友之间的细节的，这种细心不是每个人都有。  \n不过我在想啊，有时候没被拉进群，不一定是因为你“说错什么”或“没意思”，也可能只是他们拉群的时候随手选了最近聊过天的那几个人。你看到的那个“没拉进去”，和你感受到的“被排除”，中间说不定还隔着一个随机操作呢。""}]","你翻了好几遍、确认了好几遍，说明你真的很在乎这段关系，这种认真不是每个人都会有的。  
那种反复检查、又怕自己哪里不对的感觉，挺难受的吧——明明没做错什么，却忍不住怀疑自己。  
先停在这儿也没关系，不用急着想通。",1,1,0,1,2,0,
4,同伴关系,引导反思型,我明明跟她说过不要告诉别人……她是我最好的朋友啊。你说是不是我一开始就不该跟她讲？是不是我太容易相信别人了。,[],"你愿意跟她说，说明你很看重这段友情，也敢把心里话交出去——这其实挺难得的。  
她没守住秘密，你失望很正常。不过你有没有想过，让你难过的可能不只是秘密被说出去，更是“最好的朋友”这个身份让你格外意外？",1,0,2,0,2,2,
5,同伴关系,共情型,我跟她说了，她说不会告诉别人……结果好几个人都知道了。是不是我太天真了，不该跟她说这些？,[],你愿意信任别人，这本身不是错。她答应你却没做到，不是你的问题。现在觉得有点失望、有点尴尬，也很正常——先照顾好自己的心情，不用急着怪自己。,1,2,0,1,2,1,
6,学业压力,引导反思型,唉，我真的快烦死了……凭什么所有老师都觉得他们那科最重要啊！数学作业三张卷子，语文还要写作文，英语单词背不完，这堆东西写到明天也写不完吧？明明时间就那么多，非得挤一起，太不公平了！,[],数学三张卷子加语文作文再加英语单词，光是数一遍都感觉肩膀沉了——你被好几门课同时追着跑，那种被扯来扯去的感觉确实很让人烦。不过你刚才把每科的量都记得这么清楚，说明你心里其实很清楚自己面对的是什么，这本身就能帮你少做点白费力气的事。,1,1,1,0,2,0,
7,学业压力,共情型,唉，这次月考又考砸了，数学才七十多分……试卷发下来的时候我都不敢看，现在更不知道怎么跟我爸妈开口。他们最近老拿我跟隔壁班那个谁比，我都怕他们一知道成绩又要开始唠叨了。你说我该不该主动跟他们说啊？还是等他们问起来再想办法解释？,[],你刚才说“试卷发下来的时候我都不敢看”，那个瞬间的害怕，我隔着屏幕都能感觉到——不是怕分数本身，是怕那个分数一出来，又要面对一轮比较和唠叨。光是想象那个画面就已经够累的了，所以你现在想躲一躲，或者想先想好怎么开口，这都很正常。先让自己缓一缓，没什么不对。,1,0,1,2,2,1,
8,同伴关系,共情型,我真的受不了了！今天数学课我就低头看了一眼橡皮，老师直接喊我站起来，当着全班说我不认真听讲。她怎么不问问别人啊？难道就我一个人没听懂吗！也太不公平了吧！,[],被老师当众点名批评确实挺难受的，尤其是明明自己没做错什么的时候。你能这样直接说出来，说明你很在意公平这件事，这一点挺好的。,1,1,0,2,2,1,
9,同伴关系,共情型,唉，我最近总在想要不要跟小雅说……她这周一直跟新转来的同学吃饭，以前都是跟我一起的。是不是我上次说错什么话了，她才不想理我了？,[],"你注意到自己没做错什么，却还在帮她找原因，这点很细心。  
那种看着好朋友突然跟别人走很近的感觉，确实会让人心里空落落的，还忍不住怀疑自己。  
先顾着自己纠结一会儿也没什么，不用急着想该怎么办。",1,2,1,0,2,1,
10,同伴关系,共情型,嗯……就是，我昨天听说有同学在背后说我，也不是那种特别难听的，但就是说我很爱表现什么的……我也不知道是不是我平时说话太大声了，还是我真的做错了什么……,[],"你注意到自己在别人眼里的样子，还能主动去想是不是自己哪里做得不对，这本身就挺不容易的。那种""不知道是不是自己错了""的感觉，比直接被人骂还要闷得慌。先别急着改什么，心里不舒服，就先承认这份不舒服，这样也没什么不对。",1,1,0,0,2,1,
11,亲子摩擦,共情型,唉你说，我妈又给我报了个数学补习班，周六下午全占了！我本来作业就多到写不完，现在连喘口气的时间都没有，凭什么啊？他们老觉得我成绩不好就是不够努力，可我真的已经尽力了……你能不能帮我跟她说说？我有点不敢直接跟她吵。,[],你刚才说“已经尽力了”那时候，我听到你其实挺委屈的——明明自己一直在扛着，却被当成还不够努力，换谁都会觉得憋得慌。而且周六下午本来是你唯一的空档吧，现在连那点透透气的时间都没了，心里肯定又急又累。你不想直接吵，不是胆小，是你还记着在乎她的感受，这已经挺不容易了。,2,2,1,2,2,1,
12,亲子摩擦,共情型,嗯……就是我爸妈老想找我聊天，说“来谈谈心”，但我有时候真的不想聊。也不是讨厌他们，就是……可能刚考完试，或者刚好在玩手机，突然被打断，感觉很别扭。我知道他们是为我好，可就是不知道怎么开口拒绝才不伤他们心。,[],你刚刚考完试或者正在忙自己的事，突然被叫去“谈心”，那种被打断的别扭感确实挺真实的——不是不想理他们，就是那一刻你正待在自己的节奏里，突然被拉出来，会有点卡住。你能想到“不想伤他们心”，已经是在乎他们的表现了。暂时不想聊的时候先顾好自己的感受，没什么不对。,1,1,1,1,2,1,
13,亲子摩擦,共情型,我爸说我那句话的时候表情特别失望。我一整天都在想他是不是对我很失望，是不是觉得我很没用。这种感觉甩都甩不掉。,[],"你注意到他那个表情，还记了一整天——你其实很在意他怎么看，也很想让他满意，这一点本身就很珍贵。  
那种“甩都甩不掉”的感觉，是不是有点像心里压了块石头，越想推开它越沉？  
……先这样待着也没关系，你不需要马上消化它。",1,1,0,1,2,1,
14,学业压力,共情型,唉，这次月考成绩出来了，比上次退步了好多……我都不敢跟我爸妈说，他们肯定又要拿我和别人比，或者觉得我光顾着玩手机没好好学习。其实我自己也挺难受的，也在想是不是复习方法有问题，但就是不知道怎么开口跟他们讲。你觉得我是不是该先自己总结一下问题，再找个时机跟他们聊聊？,[],"你愿意先自己想一想问题出在哪儿，而不是光顾着难受，这点其实挺不容易的——说明你对自己的学习是很上心的。  
退步了本来就够憋屈了，还要担心怎么跟爸妈开口，换谁都会觉得又闷又累。  
先按自己的节奏整理好心情和思路，再决定什么时候说，这样也没什么不对。",1,0,0,2,2,1,
15,学业压力,共情型,我真的服了！这次月考成绩退步了十几名，我明明每天写到十二点，凭什么啊？！老师还说我态度有问题，他根本不看我有多努力！那些考得好的还不是偷偷刷题，有什么了不起的！,[],每天写到十二点，光是这份坚持就够不容易了——你明明那么认真，成绩退步肯定又委屈又憋屈。老师那句“态度有问题”真的挺伤人的，好像你熬的夜都不算数一样。觉得不公平、不服气，这种心情太正常了，换谁都会心里堵得慌。,1,1,1,2,2,1,
16,学业压力,引导反思型,我真的服了！这次月考成绩退步了十几名，我明明每天写到十二点，凭什么啊？！老师还说我态度有问题，他根本不看我有多努力！那些考得好的还不是偷偷刷题，有什么了不起的！,[],"你气得连“凭什么”都说出来了，那种每天熬到十二点还不被看见的感觉，真的特别憋屈。  
不过你说“考得好的偷偷刷题”——我忽然想，如果那些人不是偷偷刷题，而是找到了比你更省力的方法，你会觉得这比“偷偷刷题”更让人不服气，还是反而没那么气了？",1,1,2,2,2,2,
17,学业压力,共情型,唉，我这次数学考了个78，比上次退步了十几分。我妈之前老说“多看看错题”，我都没当回事，现在都不敢把卷子给她看。但其实我也知道她不会骂我，就是觉得特别对不起她每周末接送我去补习。你说我该直接坦白，还是先自己把错题改完再说？,[],你其实心里已经很清楚自己哪里没做对，而且还会替妈妈想——这种懂得反思又能体谅别人的劲儿，挺难得的。现在这种“知道该改，又有点怕面对”的拧巴感觉，是不是特别磨人？先不急着决定告不告诉她，你愿意先跟自己较这个劲、把错题先弄明白，光这份自觉就已经很了不起了。,1,1,1,2,2,1,
18,亲子摩擦,引导反思型,唉，今天回到家发现我妈把我房间收拾了一遍，我放在桌上的东西全被挪位置了，连我藏在抽屉里的一些小玩意儿都翻出来了……就感觉挺别扭的，又不好直接发火，但真的不太舒服。,[],"你说了“又不好直接发火”——其实能忍住不马上炸，已经挺不容易了。那种自己的空间被碰了、又说不出口的感觉，确实很闷。  

我注意到你说的是“被挪位置”和“翻出来”——好像不只是变乱了，更像自己的小世界被人走进去看了一眼。有时候，房间的摆放顺序就是自己的情绪地图，别人一动，地图就乱了。",1,1,1,2,2,1,
19,同伴关系,引导反思型,唉……今天体育课分组投篮练习，大家都很快找到人组队了，我站在那等了好久，最后还是老师过来把我分到另一组。我知道可能大家不是故意的，但就是会忍不住一直想，是不是自己平时说话太无聊了，或者别人其实不想跟我一起玩……,[],你能注意到“大家可能不是故意的”这一点，说明你挺会替别人着想的，不随便怪人。那种等人来组队的滋味确实不好受，像被晾在一边一样。不过我想啊，有时候别人没主动叫你，可能只是他们自己也在慌着找人、没顾上看你，不一定跟你好不好玩有关系。,1,1,2,1,1,1,
20,亲子摩擦,引导反思型,烦死了！今天我妈又拿我跟我同桌比，说人家数学考那么好我干嘛去了，明明我语文比她高那么多她怎么不说啊！最讨厌这种比较了，烦不烦啊！,[],你语文比同桌高那么多，她连提都没提——这个点抓得挺准的，说明你心里其实清楚自己哪里好。有时候大人只盯着一个数字，就像只开了一扇窗，别的窗户全关着。,1,2,1,0,1,1,
21,同伴关系,引导反思型,唉，你说，今天轮到我和她一起值日，我明明记得她说她去倒垃圾，我就先擦黑板了，结果她回来就说我偷懒，还跑去跟别人说。我真的想不通，是不是我哪里做错了，还是她本来就不想跟我一组啊……,[],"你记得她说过要去倒垃圾，自己就先去擦黑板了——这说明你很在意分工公平，不是那种躲活儿的人。  
她现在这么说，你心里肯定挺堵的，好像自己认真做的事被看成了偷懒。  
有时候两个人对同一件事记得不一样，可能不是谁对谁错，而是当时都没再确认一遍。关键是你本来没想偷懒，这点你自己是清楚的。",1,1,1,2,2,1,
22,同伴关系,引导反思型,他居然把我跟他说的悄悄话告诉别人！太过分了！我以后再也不会相信他了，这种朋友不要也罢！气死我了！,[],你那么信任他才跟他说悄悄话，结果他转头告诉了别人，换谁都会气炸。不过你气成这样还能清楚说出“以后不再相信他”——其实你已经知道自己要什么了，挺有主见的。,1,0,1,1,1,1,
23,学业压力,共情型,唉，这次月考成绩出来了，数学才考了72分，比上次退步了好多……我知道我爸妈肯定又要拿我跟邻居家小明比了，他每次都考95以上。我都不敢把卷子拿回家签字，你说我该怎么跟他们开口啊？,[],你主动把分数和退步都说出来了，其实挺有勇气的，很多人考砸了第一反应是藏起来。你现在心里堵着的，不只是分数本身，还有一想到爸妈那种“又来了”的眼神吧——那种还没开口就觉得自己已经输了的感觉，最难受了。先不急着想怎么开口，自己觉得又烦又怕的时候，先喘口气也没什么不对。,1,1,1,1,2,1,
24,学业压力,共情型,哎，这次月考成绩退步了好多，烦死了！明明我比之前还努力，复习那么久，结果还不如上次，凭什么啊！老师还说这次题目简单，可我错的全是不该错的，气死我了！太不公平了吧。,[],你复习那么久，结果还退步了——换谁都会觉得憋屈。你气得不是成绩本身，是那股“我明明努力了却没用”的劲儿，对吧？这种不公平的感觉，真的特别让人难受。先这么烦着也没什么不对。,1,2,0,2,2,1,
25,学业压力,引导反思型,这次考试太离谱了！题目根本没讲过好吗！老师上课就那样糊弄，出题倒是一个比一个难，凭什么啊！我真的气死了！,[],"你说得真直接，一下就把那股憋屈劲儿说清楚了——气到炸的感觉我懂。  
不过换个角度看，你连没“讲过”的题都能发现它难，说明你心里对“该会什么”其实门儿清。",1,2,1,1,1,1,
26,亲子摩擦,引导反思型,唉，今天又跟我妈吵了一架，就因为我真的不想报那个物理补习班。我知道她是为了我好，怕我期中跟不上，但我自己感觉在学校上课加上作业就够累了，周末真的一点自己的时间都没有。你说我该怎么跟她说，才能让她相信我其实不是偷懒，是真的觉得再补下去反而没效率啊？,[],"你说得挺清楚的——你觉得学校加作业已经够满了，再加补习反而没效率，这其实不是偷懒，是你自己在算自己的精力上限。  
我注意到你说了“我知道她是为了我好”，但同时又觉得自己的感受没被听见。  
换个角度想，如果你把“我吃不下了”换成“我想把这顿饭吃透”，会不会更容易让她觉得你不是在拒绝她，而是在认真对待学习？",1,0,2,1,1,1,我注意到这里初中生语料给出了清晰的问句，这是否超出的我们的预想范围
27,同伴关系,引导反思型,唉，你说小组分组的时候大家都不找我，是不是我哪里做得不好啊……我就一直在想，是不是上次他们聊天我没接话，所以他们觉得我无趣？可我真的不知道该怎么办……,[],"你刚才说的""是不是我哪里做得不好""，能这么想其实说明你很在意别人，也在很认真地找原因。不过有时候分组没被选上，可能跟""谁做得好不好""关系不大，更像大家已经习惯了跟坐得近的人或者平时常说话的人一组。你注意到的那次没接话，也许只是当时那个话题你刚好没兴趣——换一个话题，说不定你也能聊得很自然。",2,2,2,1,2,1,
28,亲子摩擦,引导反思型,哎，我真是服了，刚才就看了会儿手机，我妈一进来就开始说我整天就知道玩。其实我作业都写完了，就想放松一下，可她就觉得我在偷懒。我也知道她担心我成绩，但能不能别一上来就训人啊？,[],"你作业都写完了才看手机，这点你自己心里清楚，挺有数的。被劈头盖脸说一顿，换谁都会觉得憋屈。  

我注意到你说“她担心我成绩”——好像你一边烦她这么说话，一边又知道她心里在急什么。这两种感觉同时冒出来，是不是比单纯生气还让人没辙？",1,1,2,1,1,2,
29,学业压力,共情型,唉，我这次数学考得好差，才七十多分……不敢跟我爸妈说，他们肯定又要拿我跟别人比，还会没收手机。你说我该怎么办啊？要不要先跟我妈坦白，还是等她自己发现？,[],你这次考了七十多分，心里肯定特别不好受吧……明明是自己努力过的成绩，却还要担心爸妈的反应，这种感觉真的挺委屈的。你已经在想怎么跟他们说了，这本身就很勇敢了——先让自己缓一缓，不急着做决定也没关系的。,1,1,1,1,2,1,
30,同伴关系,引导反思型,我今天放学的时候看到小雅和隔壁班的林悦一起走出校门，她们还笑着聊天，我感觉心里特别不舒服……我知道小雅是我最好的朋友，但为什么她最近老是和林悦走那么近呢？是不是我哪里做得不够好，让她觉得和我聊天没意思了……,[],"你特别在意小雅，连她跟别人一起笑你都能注意到，这本身就说明你是个很重视朋友的人。  
那种不舒服的感觉，有点像自己最珍惜的东西突然被别人碰了一样，挺正常的。  
不过我在想——会不会你心里其实有点羡慕林悦那种轻松聊天的样子，而不是真的觉得小雅不喜欢你？",1,0,2,1,2,2,
31,学业压力,引导反思型,烦死了！今天作业也太多了吧，数学三张卷子，语文还有两篇文言文翻译，这谁写得完啊？！凭什么别的班作业那么少，就我们班主任非要搞特殊，真不公平！,[],"三张数学卷子加两篇文言文，光听这个量我都跟着头皮一紧。你还能在这儿喊出来而不是直接摆烂，其实已经在消化这个压力了。  
不过你说到别的班作业少……你有没有想过，也许你们班主任是觉得你们班扛得住这个量，才敢这么布置的？",1,1,2,0,1,2,
32,亲子摩擦,共情型,唉……就感觉他们老觉得我管不好自己，其实我只是想试试自己安排时间。比如周末先玩一会儿再写作业，但一看到我拿手机他们就觉得我在偷懒。我理解他们是担心我，可有时候连解释的机会都不给……你们大人是不是也这样想的啊？,[],你刚才说“连解释的机会都不给”的时候，我感觉到你其实挺委屈的——明明想证明自己能管好自己，可还没开口就被贴上了“偷懒”的标签。你能试着说出自己的想法，而不是直接赌气顶撞，这已经很不容易了。想先按自己的节奏来，又怕被误会，这种卡在中间的感觉确实不好受。,1,1,1,2,2,1,
33,亲子摩擦,共情型,唉，今天放学回家刚拿起手机想放松一下，我妈就冲过来说我整天就知道玩，成绩下滑都是手机害的……其实我作业已经写完了，就是想看看班级群消息，被她这么一说，心里特别委屈，又不知道该怎么解释她才愿意听。,[],你作业都写完了才拿起手机，心里明明有数，却被直接扣上“整天就知道玩”的帽子，换谁都会觉得委屈。那种憋着解释不出口、又怕越描越乱的感觉，真的挺难受的。先让自己缓一缓，不急着马上说清楚，也没关系。,1,1,1,1,2,1,
34,亲子摩擦,引导反思型,呃…那个，今天放学回家发现我妈把我房间整理了一遍，就是…她把我桌上摆的那些手办全收进柜子里了，说太乱看着心烦。我知道她是想帮我收拾，但那些是我一个个攒起来的，摆好也有我的道理…就、感觉有点不被尊重吧，明天想找她聊一下，不知道该怎么开口。,[],"你刚才说“那些是我一个个攒起来的，摆好也有我的道理”——这句话说得挺清楚的，能感觉到你对自己东西有想法，不是随便乱放。那种“不被尊重”的感觉，其实挺多人遇到类似事都会有。

不过我在想，你妈妈收拾的时候，她可能完全没意识到“摆好”对你来说也是一种秩序。她看到的是“乱”，你看到的是“我的地盘”。明天聊的时候，如果你能先说出“我知道你是想帮我”，再说“其实我那样摆是有原因的”，说不定她更容易听进去。你觉得这样开口会不会自然一点？",2,2,2,1,2,2,
35,同伴关系,共情型,我觉得她们在背后说我，但又没证据……是不是我太敏感了？还是我哪里没做好，她们才不想跟我一起玩。,[],你愿意停下来想一想自己是不是太敏感，其实说明你很在乎这段关系，也在认真对待朋友。那种“没证据但就是觉得不对劲”的感觉，确实会让人心里堵得慌，又说不清楚。先不急着给自己下结论，有这种不安本身就很正常。,1,1,1,1,2,1,
36,亲子摩擦,共情型,唉，这次数学考得特别差，卷子都不敢给我妈看。我知道她肯定会问，她总说考不好没关系，但每次看到成绩脸色就变了。其实我也挺怕她失望的，你说我该不该主动跟她说啊？,[],"你已经在想怎么跟妈妈开口了，这一点就说明你很在乎她的感受。  
考得差还怕她失望，这种又担心又内疚的滋味真的挺不好受的。  
先让自己缓一缓，不想说的时候不说也没关系，你不需要一个人扛着所有压力。",1,2,1,2,2,1,
37,学业压力,引导反思型,数学我真的受不了了！凭什么我英语能考95，数学才刚及格啊？！老师还总说“你稍微用点心就能上去”——我用心了啊！结果越学越烦，考完看到排名，数学直接拉了我快一百名，太不公平了吧！,[],你平时肯定花了不少功夫在英语上，才能考到95，这种踏实劲儿放在数学上其实特别宝贵。不过你说“越学越烦”——有时候一门课就是需要换种方式跟它相处，就像英语你找到了自己的方法一样，数学可能只是还没碰上适合你的那一套。,1,1,1,2,1,1,
38,同伴关系,共情型,嗯…我就在想，为什么周末出去玩没叫我啊？是不是我哪里做得不太好，还是他们其实没那么想跟我一起玩？,"[{""role"": ""student"", ""text"": ""嗯…我就在想，为什么周末出去玩没叫我啊？是不是我哪里做得不太好，还是他们其实没那么想跟我一起玩？""}, {""role"": ""assistant"", ""text"": ""你注意到自己没被叫上，还能主动去想是不是自己哪里做得不好——这种愿意回头看看自己的习惯，其实挺难得的。  \n被落下的感觉肯定有点闷，不过有时候别人约人可能只是临时起意，跟谁好不好关系不大。  \n要是下次再遇到类似的事，你更想直接问清楚原因，还是先观察几次再说？""}]","你注意到自己没被叫上，还先往自己身上找原因——这种愿意反思自己的习惯，其实挺难得的。  
被落下的感觉确实有点堵心，会忍不住想很多。  
就算暂时没想通原因，先顾好自己的心情也没问题。",1,1,1,1,2,1,
39,亲子摩擦,引导反思型,唉……快期中考试了我真的好烦啊。我妈天天问我复习了没，好像就她着急一样！明明我背了半天书，她一句“还早呢”就能把我气炸……算了不说了，反正说了也没人懂。,[],"你刚才说“背了半天书，她一句‘还早呢’就能把我气炸”——这句形容得真准，那种努力被轻轻一碰就碎了的感觉，确实够憋火的。

不过你有没有发现，你气的是“她没看见你付出的那半天”，而不是复习本身。你其实挺在意自己有没有认真背的，对吧？",1,1,2,2,2,2,
40,学业压力,引导反思型,烦死了！又要期中考了，天天复习复习，背了又忘，到底有什么用啊！别人怎么都能考那么好，就我不行，公平吗！我真受不了老师那副“你不努力”的表情！,[],你这段话里那个“背了又忘”说得特别真实，那种感觉确实很折磨人。不过我想轻轻递给你一个视角：你记得自己是怎么决定哪些内容值得背的吗？还是说，你其实有自己的判断标准，只是没机会说出来？,1,1,0,1,1,2,
