pair_id,sample_no,scenario,c1_orientation,c2_orientation,pairwise_sample_count,stable_votes_c1,stable_votes_c2,unstable_count,invalid_count,winner_id,pairwise_stable,pairwise_confidence,selection_method,c1_text,c2_text
sample-1,1,亲子摩擦,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,你爸一说你，你没辩解，直接就把手机放下了。那一瞬间你心里肯定挺堵的吧——明明不是第一次被说，但你还是选择了不开口，因为知道说了也是那几句来回转，没意思。那股“算了，说了也白说”的闷劲儿，我懂。,"你刚才说“不如不说”的时候，是把手机放下了对吧。那个动作我记住了——明明心里有情绪，但还是自己收住了。
不过我在想一件事：你不顶嘴，是觉得“说了也没用”，还是那一刻自己也有一点累，不想再让气氛更僵？（轻一点问，不用马上回答）"
sample-2,2,同伴关系,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,是啊，明明演算了好多遍，就最后一步写岔了，老师那句话一出来，旁边还有人笑，换谁脸上都挂不住。那股“凭什么就点我”的不公平感，听着都替你憋屈。,刚在草稿上算到最后一步，结果被老师当全班点名说没听课，还被周围人笑……那种当众被揪出来的感觉太难堪了。不过你说到“前排那几个也错了她怎么不说”——你心里其实挺清楚老师这回点名不一定公平，对吧？
sample-6,6,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,是啊，数学三张卷子、语文作文、英语单词全堆一块儿，换谁看到这一堆都会觉得头大。你那种“明明时间就这么多，凭什么每科都觉得自己最重要”的憋屈感，真的挺真实的——这股气是有道理的。,唉，三张数学卷子加作文再加背单词，全挤一块儿了，光想想那个量都闷得慌。不过你说“明明时间就那么多”——你觉得，要是让你自己排个顺序，哪一科是你心里最想先放一放的？
sample-11,11,亲子摩擦,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,唉，周六下午被占掉，连那点喘口气的时间都没了，换谁都会觉得憋屈。你本来作业就堆成山，还要硬塞一个补习班，连自己调整的余地都没有——那股“凭什么”的劲儿我听得出来，不是不想学，是真的被压得透不过气了。你跟我说这些，比闷在心里好多了。,"你妈没跟你商量就把周六下午占了，换谁心里都会堵一下。你作业本来就不少，现在连自己安排的那点时间都被挤没了，这种感觉挺憋屈的。
不过你刚才自己说“我有点不敢直接跟她吵”——你其实能感觉到，硬吵可能解决不了问题，只是把气撒出来。那你觉得，是让她知道“我作业已经很多了，再塞一个班我怕两头都顾不上”更有用，还是让她觉得你在嫌她管太多更有用？"
sample-3,3,同伴关系,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,"你翻了好几遍，确认了好几遍——那个反复翻群的动作，本身就说明你有多在意这件事。
然后你开始往回找原因：“是不是我说错话了？”“是不是他们觉得我没意思？”——那种一边翻一边心里往下沉的感觉，挺难受的。","你翻了好几遍、确认了好几遍——那个动作我好像能看见，就是反复划上去、退出来再点进去的那种。
你说你一直在想是不是自己说错话、是不是没意思……我就在想，有没有一种可能，你翻群确认的时间越长，说明你对这段关系越在意，而“在意”本身，一点错都没有。"
sample-7,7,学业压力,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,"试卷发下来那一下不敢看，那个瞬间我能感觉到你心里是沉的……憋着一股说不出的压力。
现在你一边想着那个分数，一边已经在脑补爸妈知道后可能会说的话了，光是想到那个场景就觉得累。
那股不想被唠叨、又躲不掉的感觉，确实很让人堵得慌。","唉，数学卷子发下来那一下，连看都不敢看——那种“完了”的感觉，我懂。
你现在有点纠结，是主动说还是等爸妈问。不过我倒好奇——你心里其实更怕的是他们听到分数后的反应，还是他们拿你跟别人比的那股劲儿？"
sample-12,12,亲子摩擦,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,嗯，就是那种本来在做自己的事，突然被叫去“谈心”，整个节奏被打断的感觉，特别拧巴。你不想聊的时候硬聊，自己憋着难受，又怕拒绝他们会多想——这种两边都顾着的心情，确实挺累的。,"嗯……就是那种，本来在自己待着，突然被喊去“谈谈心”，整个人一下子卡住的感觉，对吧。而且你还记得自己是怎么被打断的——刚考完试或者正玩着手机，那个瞬间的别扭感其实挺具体的。
不过我在想，你不想聊的那个“不想”，是不是也有两种——一种是真的累到不想说话，另一种是其实有点想说，但被这么一喊，反而不想配合了？"
sample-4,4,同伴关系,共情型,引导反思型,3,0,1,2,0,,false,unstable,pointwise_tiebreak,你跟她说了不要告诉别人，结果她还是说出去了，那种被最信任的人背叛的感觉，真的又气又委屈。你说“是不是我一开始就不该跟她讲”——其实你不是后悔跟她分享，你是伤心她没守住你的信任。,"她答应了你，但还是说出去了——这种被自己最信任的人泄密的感觉，比被陌生人伤害难受多了。
你刚说的“是不是不该跟她讲”，这个想法是你现在最真实的自保反应。不过我在想，你真正在意的，好像不只是“该不该讲”这件事——而是你希望“最好的朋友”这三个字，能比秘密更重一点。"
sample-14,14,学业压力,共情型,引导反思型,3,0,1,2,0,,false,unstable,pointwise_tiebreak,嗯，退步了那么多，自己本来就挺难受的，还得想着怎么开口跟爸妈说，怕他们一上来就拿你跟别人比……光这一堆压在心里的感觉，就够累的了。你已经在想是不是复习方法的问题了，说明你其实很在意自己到底哪里没做好，不只是看一个分数。,唉，退步了还要自己先想好怎么开口，那种又难受又怕被说的感觉确实挺重的。你已经在琢磨“是不是复习方法有问题”——这个角度其实挺实在的，很多人一退步就光慌去了，能想到往方法上找原因，说明你已经在试着为自己负责了。至于跟爸妈聊的时机……你是更怕他们一上来就比成绩，还是更怕他们连听你分析问题的时间都不给？
sample-13,13,亲子摩擦,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,你爸那个失望的表情，你记得特别清楚，一整天都在脑子里转，想甩都甩不掉。那种“他是不是觉得我没用”的害怕，真的压得人喘不过气来。,"你爸那个失望的表情，像照片一样卡在你脑子里翻来覆去地看，对吧。一整天都在想“他是不是觉得我没用”——那种被盯住的感觉，真的很难甩开。
不过你有没有注意到，你一直在猜他心里怎么想，但你没说出口的那个部分——你其实很在意他对你的看法，这本身就已经很清楚了。"
sample-5,5,同伴关系,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,那种感觉挺憋屈的——你特意跟她确认过，她说不会告诉别人，结果转头就好几个人都知道了。换谁被这么来一下，都会忍不住想“是不是我就不该说”。你当时选择相信她，这一点本身没什么错。,她答应了又没守住，你才觉得是自己太天真……可你跟她讲的时候，是相信她能做到的，这份相信本身没有错。
sample-15,15,学业压力,共情型,引导反思型,3,0,0,3,0,,false,unstable,pointwise_tiebreak,你写到十二点，成绩退步了，老师还说态度有问题——换谁心里都堵得慌。那种“我明明拼了命，凭什么还被否定”的气，真的挺憋屈的。,写到十二点还退步这么多，换谁都会觉得又憋屈又愤怒。老师那句“态度有问题”砸过来的时候，你心里肯定特别凉——明明自己熬了那么多夜，他一句话就把你的努力全抹掉了。不过我也注意到，你刚才把“凭什么”和“偷偷刷题”放在一起说了，我有点好奇：如果去掉那些考得好的人，光看你每天写到十二点这件事，你觉得那个“努力”和“结果”之间，是哪里让你最不甘心？
sample-18,18,亲子摩擦,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,唉，桌上那些东西被挪了，连抽屉里的小玩意儿都给翻出来了，那种“自己地盘被动了”的感觉真的挺别扭的。又不好冲妈妈发火，那股气就闷在心里，不上不下的。,"唉，自己放得好好的东西全被动了位置，那种感觉确实挺别扭的——像是自己的小地盘被人翻了一遍，又没法当场说什么。
不过我在想，你注意到没——你明明觉得不舒服，却没有直接发火。你是自己判断了一下，“不好发火”才忍住的，还是那一刻其实也有一点不知道该怎么说出口？"
sample-8,8,同伴关系,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,好家伙，全班那么多人，她就偏偏点了你，就因为你低头看了一眼橡皮——那种“凭什么就抓我”的憋屈感，我隔着屏幕都能感觉到。你当时心里肯定又气又冤，明明没比别人多做什么，却被当典型，那股火压都压不住。,"哦，你低头看个橡皮就被点名，还当着全班说你没认真听讲——换谁被这么来一下都会觉得憋屈。而且老师也没问问你是不是卡在哪道题上了，就直接下结论，那种不公平感确实很顶。
不过你有没有注意到，你气的是“她怎么不问问别人”——你心里其实更想要的是被问一句、被看见你也在努力跟，而不是被当成不认真的那一个。这跟你是不是真的听懂了，其实是两回事。"
sample-17,17,学业压力,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,"唉，考完看到那个78分的时候，心里肯定咯噔一下，比上次少了那么多，那种落差感真的挺难受的。而且你妈平时接送那么辛苦，你心里其实特别清楚她为你做了什么，所以才更怕让她失望，这种“对不起她”的感觉比挨骂还重。
你想到先自己把错题改完再给她看，是觉得这样至少能让她看到你已经在补救，心里能好受一点，对吧？这个念头本身，就已经说明你很在乎她的付出了。","唉，你明明知道坦白也不会被骂，却还是卡在“不敢给她看”这一步，那种“对不起她接送”的愧疚感，比挨骂还沉吧。
不过你注意到没有——你纠结的已经不是“要不要学”，而是“怎么交代”。这其实说明你心里已经有答案了：你打算先把错题改完，再给她看。
你觉得改完错题再拿给她，跟你现在直接坦白，这两种方式里，哪一种会让你自己心里更踏实一点？"
sample-20,20,亲子摩擦,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,烦死了，就是那种——明明你也有考好的时候，人家偏偏只挑你没考好的那一科来比，好像你语文考多少分都不算数一样。这股气憋着特别没地方出吧。,就是啊，你语文考得比她高那么多，她提都不提，光盯着数学那一科，换谁听了都憋屈。而且你同桌数学好这件事，你自己肯定早就知道了，根本不用她再拿来念一遍。
sample-9,9,同伴关系,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,嗯，你一直在想是不是自己说错了什么，才让小雅这周没跟你一起吃饭。你翻来覆去地把那天说过的话在脑子里过了好几遍吧。那种“是不是我做错了”的感觉，悬在那里，挺磨人的。,是啊，你看着她这周一直跟新同学吃饭，心里肯定空落落的，还会忍不住想是不是自己哪里做得不对。那种反复琢磨自己说过的话、又怕猜错了的感觉，挺难受的。
sample-23,23,学业压力,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,唉，72分，比上次退步了，还得拿回家签字……一想到爸妈可能会提小明，那股闷住的压力一下子就上来了吧。把卷子攥在手里不敢递出去的那个感觉，真的挺不好受的。,"你连卷子怎么拿回家签字都想了一遍，那种压着的感觉我大概能摸到边——不是怕分数本身，是怕开口那一瞬间又要被拿来跟小明比。
不过你刚说到“每次他都95以上”，你有没有注意到，你心里其实已经很清楚爸妈会拿什么标准来量你了？
那你觉得，让你最不舒服的，到底是“考了72分”这件事本身，还是“又要被拿来跟小明比”那种被比着的感觉？
（二选一检查：两个选项都是孩子真实面临的处境——“考了72分自己不满意”和“被比较的烦躁”是互斥的吗？不完全互斥，但指向不同层面的感受；任一答案都能让孩子继续表达，且不替第三方解释动机。条件满足。）"
sample-26,26,亲子摩擦,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,唉，那种“我知道她为我好，可我真的撑不住了”的感觉，最卡人了。你明明不是不想学，是已经感觉到自己的时间被塞满了、再补反而会反胃——这个判断本身就很清醒啊。能把“再补下去没效率”这个点说出来，说明你不是在赌气，是真的在替自己的状态想。,"你刚才把那种“再补下去反而没效率”的感觉说出来的时候，我好像能看见你周末被作业和课占满的样子。那种明明已经累了，还要被当成偷懒的憋屈，你讲得挺清楚的。
不过你有没有注意到——你其实已经想明白了一件事：你反对的不是物理，而是“在已经饱和的时间里再塞一节”。这个区别，挺多人自己都搞混的。你觉得妈妈现在看到的是哪个版本？是“你不想学物理”，还是“你的时间真的装不下了”？"
sample-10,10,同伴关系,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,嗯……你昨天听到那些话的时候，心里肯定咯噔一下，像被什么东西堵住了吧。你还在想是不是自己哪里没做好，连说话大声都翻出来怀疑自己——那种“我是不是真的做错了什么”的感觉，挺难受的。,"嗯，你昨天听到有人背后说你“爱表现”，然后自己就开始往回想了——是不是说话太大声了、是不是真的做错了什么。你能把这一串想法说出来，本身就不容易。
我好奇一个事：你听到那句话的时候，心里第一下冒出来的感觉，是“有点难过”，还是“有点不服气”？还是两种都有？"
sample-24,24,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,哎，复习那么久，自己觉得比之前还努力，结果成绩下来反而退步了，换谁都得憋屈。老师那句“题目简单”听着更扎心吧——明明自己错得都不是不会，就是考场上手滑了、脑子卡住了，感觉努力全白费了，那股气憋在心里特别难受。,哎，努力了那么久，结果成绩还不如上次，换我我也憋屈。而且你错的全是不该错的——那感觉就像自己跟自己过不去，更气人。不过你有没有注意到，你说“错的全是不该错的”，这里面其实藏着两个东西：一个是考试时的那种状态，另一个是你本来已经会了的东西。你想先聊聊是哪个地方没稳住，还是先说说你明明会了却被扣分的那部分？
sample-28,28,亲子摩擦,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,哎，刚写完作业想歇口气，结果被这么一说，换谁心里都不舒服吧。你明明把事情做完了，还被当成在偷懒，那种“我其实没做错什么”的憋屈感，我听着都觉得够呛。,"哎，刚把作业写完，就想自己歇会儿翻翻手机，结果门一推就是一顿说，换谁那一下都有点堵得慌。
不过你说你作业都写完了——那你觉得，如果换一种方式，比如你妈进门的时候你先主动跟她说一句“我作业写完了，休息十分钟”，她还会一上来就训你吗？还是说，就算说了她也一样会急？"
sample-19,19,同伴关系,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,"唉……你说的“站在那等了好久”那个画面，我听着都觉得心里空落落的。看着别人一组一组凑好，自己像被落下了，那种感觉特别清楚。
而且你还在想是不是自己哪里不够好，说明你真的挺在乎跟别人的关系。那股忍不住反复想的劲儿，其实挺累人的。","唉，那种看着别人三三两两凑好、自己一个人站在场边的感觉，真的挺难熬的……你连“是不是自己说话无聊”这种细节都想到了，说明你其实很在意这件事。
不过你有没有注意到——你脑子里一直转的，全是“我哪里不够好”，但完全没想过：会不会是大家分组的时候太着急了，根本没注意到还有谁没被拉进去？有时候不是你的问题，只是那个现场太吵太乱了。"
sample-25,25,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,这题考得确实太突然了，老师课上没重点讲的东西一下子全冒出来，换谁碰上都会觉得憋屈。你复习的时候明明照着课本和笔记来的，结果卷子一翻全是没见过的，那股气堵在胸口很正常。,"这次考试你明明认真听了，结果一翻开卷子全是没见过的题，那种被耍了一下的感觉确实很炸——火一下就上来了对吧？
我就在想啊，这种“上课简单、考试超纲”的落差，到底是题目本身难，还是老师讲的方式让你觉得没被好好对待？"
